	sequences per sample	iteration	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
alpha_rarefaction_108_1.txt	108	1	311.111111111	188.230769231	406.428571429	210.0	498.75	326.5	182.0	230.0	311.8	133.714285714	444.25	293.0	616.666666667	330.0	261.0	195.071428571	339.0	268.090909091	349.090909091	248.0	879.0	217.333333333	160.461538462	241.111111111	266.1	269.5	313.375	194.272727273	214.0	165.625	230.545454545	253.0	229.375	167.5	224.111111111	166.5	288.6	125.363636364	279.333333333	216.333333333	131.461538462	241.75	112.235294118	593.2	281.6	365.75	362.75	211.0	254.076923077	483.5	203.111111111	196.75	197.666666667	199.125	214.666666667	172.25	249.909090909	378.0	144.214285714	177.25
alpha_rarefaction_108_2.txt	108	2	347.8	414.0	365.75	341.6	303.5	208.0	240.928571429	244.1	226.272727273	250.333333333	178.647058824	172.0	404.5	543.0	361.111111111	294.0	169.076923077	248.333333333	404.5	209.615384615	486.0	156.083333333	315.428571429	134.75	201.6	184.4	204.6	171.909090909	249.0	130.75	242.111111111	219.125	154.5	177.0	258.0	144.090909091	325.857142857	187.5	356.166666667	287.0	170.875	325.857142857	426.0	223.5	230.5	427.0	256.666666667	223.375	282.6	247.1	315.75	151.555555556	390.166666667	254.625	150.153846154	199.6	297.272727273	267.090909091	454.0	186.833333333
alpha_rarefaction_108_3.txt	108	3	242.75	218.0625	288.111111111	293.25	254.625	454.75	317.333333333	217.583333333	378.0	659.0	437.0	301.0	220.090909091	265.111111111	352.333333333	212.0	236.583333333	270.666666667	326.5	309.909090909	472.0	201.153846154	288.111111111	270.666666667	533.166666667	265.111111111	227.0	213.333333333	205.0	166.625	151.25	125.076923077	146.1	131.1	256.545454545	277.5	209.857142857	240.166666667	144.090909091	231.6	180.75	251.333333333	217.333333333	273.428571429	454.75	329.0	286.111111111	204.0	348.125	281.6	210.0	240.3	186.0	263.272727273	152.0	226.0	392.166666667	147.571428571	303.0	185.833333333
alpha_rarefaction_108_4.txt	108	4	550.2	219.769230769	594.2	433.5	176.0	237.214285714	232.6	413.2	185.0	200.6	295.5	246.875	352.333333333	191.666666667	279.333333333	174.0	249.142857143	204.0	190.625	236.909090909	283.0	199.214285714	288.111111111	248.333333333	329.0	185.0	218.333333333	181.6	456.666666667	218.5	232.6	144.0	116.583333333	191.375	389.166666667	203.428571429	307.5	155.5	196.272727273	179.0	122.3	268.25	225.272727273	185.833333333	381.6	208.0	179.363636364	232.75	219.5	374.25	134.769230769	208.0	190.5	207.0	212.0	176.8	170.4	400.5	166.5	225.0
alpha_rarefaction_108_5.txt	108	5	248.0	227.375	357.375	307.8	263.857142857	296.5	267.090909091	285.875	330.0	339.0	384.428571429	415.142857143	535.166666667	214.0	214.0	356.2	278.625	258.0	260.75	310.8	265.111111111	395.857142857	549.2	205.8	348.5	440.0	146.5	189.375	320.125	137.0	234.0	141.833333333	345.0	223.0	360.111111111	191.5	262.5	151.0	156.5	375.0	255.0	448.142857143	314.375	398.5	284.0	249.0	288.090909091	223.375	242.0	236.909090909	147.625	162.071428571	270.166666667	231.75	203.0	261.857142857	425.666666667	179.0	175.25	231.6
alpha_rarefaction_108_6.txt	108	6	166.714285714	378.0	236.076923077	391.625	194.75	366.75	338.6	263.5	318.428571429	193.5	403.5	308.8	330.0	158.461538462	340.0	169.545454545	295.25	310.142857143	326.666666667	325.666666667	340.272727273	389.166666667	240.3	173.909090909	248.333333333	306.5	202.333333333	181.111111111	273.3	137.0	225.142857143	240.25	205.0	224.0	250.333333333	344.142857143	228.0	214.333333333	452.0	280.6	189.375	221.5	223.111111111	261.0	220.5	201.333333333	184.909090909	223.142857143	329.0	385.428571429	227.0	251.333333333	214.0	182.909090909	168.545454545	172.0	349.125	201.6	220.125	192.5
alpha_rarefaction_108_7.txt	108	7	252.0	217.333333333	231.5	327.0	206.857142857	148.666666667	735.0	355.375	202.333333333	312.375	364.75	185.833333333	360.111111111	232.0	257.545454545	225.461538462	294.0	224.272727273	336.076923077	390.166666667	276.0	296.5	394.625	266.1	394.857142857	471.0	188.230769231	354.0	338.0	141.0	221.111111111	140.928571429	204.111111111	161.857142857	351.333333333	208.8	274.428571429	239.6	278.333333333	142.214285714	111.5	208.714285714	386.75	203.111111111	231.571428571	246.1	295.0	239.0	204.153846154	280.6	216.428571429	179.0	121.0	252.0	214.0	148.0	295.5	211.1	270.166666667	148.5625
alpha_rarefaction_108_8.txt	108	8	209.0	257.545454545	165.866666667	1585.5	221.111111111	225.5	246.909090909	218.090909091	312.375	426.0	407.0	181.5	259.230769231	245.1	593.2	164.4375	202.153846154	224.5	405.5	235.583333333	482.428571429	273.3	377.0	206.8	396.857142857	249.142857143	226.111111111	171.1	259.0	194.142857143	178.0	205.111111111	236.5	201.428571429	242.75	325.666666667	423.75	225.375	681.0	211.0	157.333333333	309.375	317.333333333	202.111111111	542.428571429	133.588235294	244.111111111	242.111111111	317.333333333	295.0	149.3	264.111111111	176.25	378.0	212.0	287.0	309.8	325.666666667	213.0	223.5
alpha_rarefaction_108_9.txt	108	9	226.461538462	272.833333333	350.125	352.375	186.0	208.0	236.3	326.666666667	203.0	178.363636364	468.857142857	384.875	225.461538462	148.5	215.153846154	345.142857143	353.0	300.0	242.0	218.090909091	235.866666667	278.333333333	160.461538462	156.5	338.0	195.5	366.75	219.111111111	300.0	187.2	319.0	453.0	217.125	161.857142857	225.0	223.142857143	150.153846154	210.0	244.1	367.0	263.0	172.0	221.111111111	291.0	399.1	406.428571429	293.5	293.25	309.8	318.333333333	177.25	159.090909091	220.5	170.083333333	190.545454545	272.428571429	266.25	174.214285714	206.0	170.428571429
alpha_rarefaction_157_0.txt	157	0	411.583333333	322.0	248.352941176	365.769230769	310.545454545	245.157894737	355.75	363.0	326.076923077	200.235294118	297.894736842	233.4	258.0	340.5	612.111111111	311.1	418.0	292.066666667	290.0	389.153846154	314.5625	318.0	519.0	357.090909091	371.0	490.333333333	384.25	212.352941176	381.090909091	144.272727273	249.928571429	247.3	219.75	331.857142857	469.5	314.0	318.8	312.545454545	277.066666667	404.1	340.0	378.0	292.0	439.333333333	360.833333333	368.769230769	261.571428571	299.0	344.833333333	612.0	185.666666667	230.0	325.076923077	290.615384615	280.5	149.058823529	397.5	282.0	230.666666667	184.75
