	sequences per sample	iteration	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
alpha_rarefaction_108_0.txt	108	0	10.32881	9.89836	10.30647	9.03507	9.93147	11.64125	10.04839	10.4228	8.50337	7.20715	9.71543	10.71844	10.36695	7.96012	12.14766	8.49186	11.55839	7.5068	10.01748	11.54563	8.91698	8.79426	8.17767	7.02627	7.67811	9.01576	10.50798	6.50334	9.76159	7.14499	7.89734	7.92143	8.44411	7.46137	10.49821	8.37331	9.66347	6.52492	9.56167	10.20685	9.04977	10.79044	8.24954	8.62101	10.61704	9.29845	12.2919	7.00188	9.8563	10.21711	8.56731	11.59069	11.01975	9.47595	9.02318	7.48459	10.32239	9.49027	7.81509	8.22191
alpha_rarefaction_108_1.txt	108	1	9.65916	8.62568	10.90744	9.70843	8.25007	11.24804	10.74494	11.25184	10.49226	6.52518	10.66613	10.36511	11.95007	8.93612	12.17451	9.79713	10.44905	7.54491	11.03704	11.01813	9.76424	9.46942	7.71878	6.71001	8.37958	8.93158	10.35652	7.84428	9.22576	7.48554	9.13584	8.52937	8.44265	7.75027	9.64558	8.21667	8.93282	7.24836	10.09309	10.1231	9.66064	11.01812	9.45211	10.01888	10.33227	9.47393	11.20373	7.04003	10.89928	11.16352	10.13622	13.05431	9.76779	9.11691	7.68115	8.41569	10.94017	11.16366	8.00432	9.15021
alpha_rarefaction_108_2.txt	108	2	11.33612	8.98712	10.45909	8.54287	9.30348	11.33349	10.3493	10.15839	8.77987	8.0538	9.37579	10.58231	11.53694	8.17238	12.08655	9.76422	9.58719	8.12871	9.6727	9.7396	10.4894	8.16572	8.69026	6.63435	8.05762	9.50126	9.92416	6.92202	10.26304	6.58391	7.82083	9.16218	7.59183	7.15474	8.98451	9.13869	10.02044	8.51171	10.23748	9.12373	8.56108	11.10823	10.26213	9.47645	12.09692	10.05127	10.46955	7.45178	10.67071	11.27561	8.53308	12.44778	10.13613	9.66412	8.40518	8.08692	10.50276	9.94862	7.54701	9.30286
alpha_rarefaction_108_3.txt	108	3	8.57641	9.5739	10.31671	9.72547	8.52154	11.93888	11.22188	11.77267	9.24779	8.10672	10.6234	10.39162	10.02392	9.83399	13.37981	9.57911	10.34433	7.98884	10.17881	9.98565	10.43878	8.84229	8.51413	7.81846	8.7452	9.60752	10.22922	6.95724	9.42354	7.65736	8.21541	8.24419	8.28858	6.85431	9.68939	8.68765	8.25451	8.2584	9.22386	9.59187	7.68353	10.62346	9.71868	8.61516	11.67061	9.38066	11.55787	6.93438	9.67677	10.82735	8.50346	12.91893	11.60933	9.5429	8.71703	9.01714	9.04979	9.49047	9.94522	9.51599
alpha_rarefaction_108_4.txt	108	4	10.08793	10.53893	11.32008	9.43902	7.09663	10.60161	10.26304	11.40749	9.39701	7.90459	9.45411	9.27592	10.31398	7.4059	12.06741	9.03848	10.16439	7.52363	9.56375	11.39765	9.97824	9.54422	8.3393	7.10503	8.70303	8.53124	10.13108	6.57276	10.17566	6.60358	9.08221	7.70357	7.36969	8.01526	10.59177	8.11359	9.44743	7.03692	10.38579	8.63674	7.44386	11.09638	9.03688	9.37866	12.0928	9.779	10.57755	7.55495	11.19149	10.82619	8.95243	12.31614	9.9656	9.52058	8.94223	7.66941	10.01254	11.39587	7.81031	9.48362
alpha_rarefaction_108_5.txt	108	5	9.34675	9.93935	9.30677	9.93202	9.20474	12.59392	10.96199	10.84503	9.95402	8.45924	8.94716	10.20591	10.96224	8.66368	11.58647	10.23593	9.25733	6.51189	10.06451	11.90662	8.99277	9.334	8.19421	6.36591	8.46699	9.0392	9.12003	6.4385	9.17676	6.55664	9.72947	8.76344	8.29583	7.61304	10.29853	9.17118	9.9117	7.28178	10.66225	9.9467	9.35111	10.37707	10.41407	10.4564	12.97714	9.94621	12.87462	7.23777	11.21596	10.19723	7.81642	13.09027	10.11706	9.1068	8.63972	8.39577	9.78922	8.96507	7.89645	8.69926
alpha_rarefaction_108_6.txt	108	6	8.70412	10.63271	11.95765	9.62438	8.01455	11.63725	10.75725	9.4336	9.30975	7.97355	10.74117	10.39482	9.9693	8.44102	13.35523	9.49542	10.3247	8.25233	10.20949	11.09193	9.697	8.19261	7.98188	6.08669	7.62611	8.39986	10.11228	6.81481	9.21764	6.4504	8.20108	8.794	8.31796	8.17437	9.38882	8.90355	9.62109	7.27269	9.87009	9.97418	7.92604	10.84828	10.7576	8.17513	11.74943	8.86713	10.18254	6.2398	10.41538	10.9871	9.34558	12.41826	10.91158	9.72506	8.93762	7.35049	9.37972	9.93084	7.97159	9.74961
alpha_rarefaction_108_7.txt	108	7	9.53222	8.70593	11.50349	9.69458	7.3999	9.88245	11.20329	11.21033	8.98	9.1033	10.12935	9.23105	11.02222	8.50352	12.88701	10.43407	9.9313	8.95072	11.05297	10.06908	10.15851	9.59968	8.75653	7.93305	8.22282	8.31767	9.55151	6.04066	9.18412	6.81419	8.20997	8.93867	8.52098	7.02658	10.36903	8.88779	9.09851	7.40871	9.81798	9.46069	8.30639	10.77984	9.00479	7.81277	11.12377	9.27188	12.40619	6.28673	10.69623	9.85448	9.71133	12.31761	8.18648	9.36359	9.69177	8.0788	11.22688	9.16697	8.26097	8.599
alpha_rarefaction_108_8.txt	108	8	10.17483	9.86678	10.08138	10.6288	8.36806	10.5803	9.717	11.01428	9.92685	9.55521	12.13556	8.8681	10.38242	9.2716	12.44527	9.29061	8.99084	8.64756	10.32364	9.90909	10.01947	9.2607	7.71812	7.52662	8.67739	8.41362	9.08276	6.9342	8.66502	6.8183	8.32766	9.5628	8.69212	7.20885	10.76777	9.3829	8.79483	7.67285	9.94778	9.49383	7.88952	9.57953	11.37752	8.34333	11.8731	8.88618	12.07234	7.39632	10.84954	10.50234	9.02978	11.53183	10.66037	8.76895	8.2398	8.72806	9.95777	9.27234	8.18897	9.31217
alpha_rarefaction_108_9.txt	108	9	9.93842	9.85004	10.40673	10.00433	8.09287	11.86259	9.96245	10.65294	9.81595	8.43194	9.89542	10.9304	11.20928	8.54481	11.96917	9.57288	9.37993	7.84628	10.88444	9.94057	9.94895	9.29635	7.41903	7.27441	7.81651	7.8455	10.36642	6.64839	8.56362	6.36006	7.63333	9.67816	8.13131	7.30669	10.77368	8.28534	9.4947	6.72186	9.87048	9.96885	9.33426	10.01915	9.87273	8.48982	11.29245	10.18456	12.39642	7.15153	10.36713	10.02715	8.2095	12.48425	10.17889	8.10658	9.70545	8.20795	10.83268	10.67216	8.3306	9.6058
