	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
Amz5chldF2.418405	0.623373051784	0.6599485462	0.627618182088	0.67503352912	0.65849445091	0.630260580256	0.636878893823	0.603970099815	0.593192471986	0.612292855207	0.0	0.6115769681	0.578709773868	0.665850257431	0.63757799868	0.606401245545	0.760213531049	0.787930667737	0.735261765635	0.752861631463	0.738062139185	0.703153396265	0.770742568235	0.794886871233	0.757955791088	0.758874355131	0.714804616084	0.805828701222	0.724917902547	0.743786473536	0.711447919549	0.717448084612	0.718575457458	0.744213962805	0.732235509422	0.76140686212	0.760778284673	0.760378840065	0.662202860807	0.667989809479	0.656096310209	0.631563470627	0.617646898054	0.694399846899	0.654739141279	0.643435654429	0.691418962977	0.740433546288	0.688916257821	0.652756952664	0.690656684159	0.72660510011	0.636689736097	0.687107019386	0.628928601016	0.709650235156	0.637951773166	0.657571410997	0.711424316678	0.647940529035
Amz5teenF.418519	0.648655698457	0.641037857808	0.618315576184	0.637309007759	0.670016702251	0.668382862782	0.651698388139	0.652253941218	0.617120881602	0.635259135724	0.6115769681	0.0	0.596151895406	0.63367516332	0.637515938135	0.649951699833	0.745154039458	0.792655944314	0.711807786985	0.743991903568	0.748611547383	0.732062840501	0.778047596557	0.816843077106	0.767782517356	0.786787359246	0.735750553595	0.819265341581	0.725402035978	0.767319619066	0.716746566376	0.746332014883	0.72352582462	0.767742342205	0.722904805972	0.76920801756	0.730316456214	0.777179185246	0.642736434904	0.655654253831	0.625005244679	0.634450091894	0.649695812176	0.67108690293	0.626123187884	0.660219112703	0.700633625307	0.762746689102	0.69616870243	0.630431613253	0.691939144767	0.704853561118	0.604885853835	0.674579571495	0.669864339326	0.704903604533	0.628783810393	0.650972010935	0.728634010856	0.675521426098
Amz6chldM.418668	0.654589137732	0.688884003185	0.617049288641	0.625943935293	0.64626710506	0.634327472842	0.685164392653	0.667808154713	0.63372918384	0.635951730203	0.578709773868	0.596151895406	0.0	0.644985324287	0.612154723681	0.639910149089	0.77938035153	0.791298537101	0.739723239779	0.761511838992	0.754688944111	0.736822928094	0.78569829877	0.805875595043	0.762278211648	0.801812840504	0.747048791341	0.828042590815	0.739103305774	0.758735754633	0.734531937674	0.732200612175	0.73478562102	0.776229101466	0.7569850438	0.777224362367	0.741612411748	0.743611522998	0.685155909016	0.692375902311	0.614687865361	0.632279950424	0.617455506122	0.696500101455	0.637620366773	0.677897933447	0.657142670439	0.732342623021	0.640166594532	0.624728793302	0.680164590805	0.670714334791	0.63626779286	0.717525920943	0.667132608857	0.692602677254	0.661491281401	0.647609926375	0.710796141977	0.653309898377
Amz6eldF.418597	0.656150585345	0.674541241644	0.659089494101	0.642091533253	0.663869178821	0.698709932682	0.70251330326	0.644940690913	0.632717496416	0.632217624795	0.665850257431	0.63367516332	0.644985324287	0.0	0.65602109406	0.644481713984	0.788222797461	0.805021431754	0.766049603308	0.750423510012	0.782063645432	0.783271999761	0.786167539461	0.803662161335	0.774326882219	0.791658962937	0.780031393131	0.81207503171	0.759067162016	0.791395629153	0.739110031379	0.740467895525	0.729104869089	0.791678582122	0.762642737008	0.772703523573	0.76336628775	0.779623882969	0.706185263334	0.697463975018	0.675921224211	0.683043378997	0.666459272511	0.753320169975	0.674769752918	0.666811895257	0.700035077751	0.784035648822	0.680783296451	0.689548892374	0.667217716176	0.730074146398	0.662995397647	0.713136652208	0.652507399709	0.689982832245	0.661558906873	0.620757245855	0.721058891288	0.661752822873
Amz6eldM.418356	0.682353156575	0.668424483637	0.628146844215	0.663373777322	0.687919567454	0.63634343003	0.672878061755	0.582570240449	0.655798802572	0.699082825043	0.63757799868	0.637515938135	0.612154723681	0.65602109406	0.0	0.659759388091	0.719669830861	0.82654121679	0.751132645983	0.750410046783	0.790123502256	0.772294878828	0.828335110446	0.850060364363	0.795055773587	0.807808159659	0.768426201157	0.830541460143	0.769159697349	0.81731042572	0.768850319406	0.769985037963	0.782237134628	0.803847664181	0.774911255419	0.79170331512	0.768049578153	0.80737239766	0.698884111255	0.654565798669	0.647839780744	0.629435965611	0.622759537846	0.736886771384	0.647835815471	0.704264499631	0.627873879013	0.799360423213	0.639773385864	0.628454386632	0.692558729523	0.619345078913	0.627300614822	0.705594497462	0.640077266323	0.71345565403	0.63760527662	0.635974850532	0.741850913889	0.704021211001
Amz7eldM.418423	0.6516756516	0.682164729492	0.638890531901	0.70003958186	0.687931567447	0.678676818119	0.665752496605	0.623476642672	0.599442525025	0.638907725171	0.606401245545	0.649951699833	0.639910149089	0.644481713984	0.659759388091	0.0	0.758646633619	0.756183336286	0.739222723417	0.731220832173	0.703145664681	0.708688101585	0.73489093106	0.786748589607	0.739462170563	0.765488232616	0.724520748879	0.785811989571	0.706580918711	0.719063929414	0.684248145533	0.675126111046	0.673914002373	0.726521684971	0.741033567969	0.73615177943	0.715496027139	0.726923341727	0.685768091381	0.674655398949	0.678724765067	0.700602353903	0.603009643592	0.699160673954	0.687317209476	0.681260697456	0.680186291211	0.737612319591	0.72596313271	0.705866222009	0.679059921378	0.720711500608	0.64464241862	0.703284712517	0.643837415553	0.692842741297	0.652156206976	0.687120982389	0.696654834464	0.656635712807
TS1.418828	0.74854922936	0.754665961703	0.716659859358	0.79855380802	0.800922058047	0.724368520804	0.708121270225	0.716790172234	0.762283368329	0.757665142879	0.760213531049	0.745154039458	0.77938035153	0.788222797461	0.719669830861	0.758646633619	0.0	0.725917471328	0.659309643553	0.630178613842	0.708831704129	0.660179783744	0.710685337351	0.770023990784	0.722597471227	0.677627160285	0.690890197553	0.728972481731	0.696935121541	0.756293266145	0.696375726896	0.713861197864	0.71190682999	0.695171628338	0.6687988743	0.68779269666	0.676057007377	0.779118611205	0.767262894417	0.739567921798	0.786768520051	0.75904757665	0.76406801607	0.766460473825	0.77854602601	0.772618816951	0.792845639332	0.822337452016	0.803440072237	0.787071136895	0.798271239834	0.736631486711	0.736990118284	0.763094233525	0.78923871076	0.83639774294	0.741604449192	0.787962287036	0.838387700808	0.79799943227
TS109.418691	0.723323557078	0.771364614314	0.762486187647	0.790034696805	0.820127364308	0.77592796148	0.759888291809	0.805464346855	0.732505975222	0.743406321845	0.787930667737	0.792655944314	0.791298537101	0.805021431754	0.82654121679	0.756183336286	0.725917471328	0.0	0.651607525811	0.737762185911	0.621817327484	0.688368218814	0.662167715098	0.669666348904	0.67214486428	0.66979911621	0.75210309973	0.667599060795	0.622961533032	0.642215587238	0.630284766283	0.667103755384	0.662362022293	0.617763869981	0.713506026046	0.639297613634	0.69513586184	0.649391143734	0.807514141344	0.781718958052	0.80430306389	0.821791763938	0.805410441121	0.738523787866	0.806662776784	0.814140404619	0.827375622754	0.741962859935	0.819339811995	0.81069682127	0.821975631779	0.827935362477	0.794471447491	0.779320116365	0.815607036966	0.794226129325	0.806027926165	0.828023260919	0.803294639758	0.767482251231
TS111.418684	0.717294693386	0.734340915351	0.720798710479	0.742804058733	0.792795608035	0.743388481966	0.68698839851	0.73699174376	0.722519698235	0.738355466798	0.735261765635	0.711807786985	0.739723239779	0.766049603308	0.751132645983	0.739222723417	0.659309643553	0.651607525811	0.0	0.648298590307	0.637662123715	0.639754362325	0.681175837722	0.734024751279	0.663335066055	0.681341618119	0.670541579498	0.737041146549	0.614038297854	0.72039668335	0.682832222979	0.701786634402	0.689322458499	0.67395944797	0.657359890162	0.700751969993	0.668178658221	0.721707475968	0.757938290687	0.724724596244	0.776460371985	0.759526999402	0.777066015333	0.728836624838	0.77103463544	0.756293961432	0.774568926764	0.759016053306	0.783453950145	0.778573781926	0.781800135059	0.762776216812	0.727816007347	0.727409327917	0.783731382326	0.80207054161	0.742556976843	0.774672942131	0.803627848106	0.760576839322
TS127.418550	0.721942384882	0.727999692669	0.749622293971	0.763069200347	0.788780683816	0.710661430102	0.720332747859	0.727488450629	0.740614122005	0.769878507986	0.752861631463	0.743991903568	0.761511838992	0.750423510012	0.750410046783	0.731220832173	0.630178613842	0.737762185911	0.648298590307	0.0	0.687107942318	0.665276886153	0.742279488061	0.732434305513	0.736340134386	0.667042530498	0.673359670428	0.746278688583	0.702144669032	0.786693844411	0.715580267482	0.721517415804	0.69415565264	0.743976433844	0.666520961892	0.692204449791	0.637931827527	0.773607903734	0.744877836975	0.724235462991	0.753900551569	0.755212957622	0.774052880186	0.753198268877	0.76653141138	0.739383174698	0.757455231617	0.824760384164	0.787260853013	0.778642877887	0.777653729228	0.712770539205	0.716848968171	0.715445223154	0.747208266893	0.825336529073	0.735700633564	0.76574712715	0.808395107379	0.807029777278
