	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
h264M.1.418377	0.3002118	0.23640088	0.26769866	0.37340128	0.50778356	0.25705134	0.3476055	0.42993964	0.31724904	0.36866236	0.28647836	0.35904296	0.2280949	0.3129589	0.28617094	0.28554084	0.36097706	0.40671264	0.33145102	0.37186982	0.33418716	0.38772184	0.3682815	0.39330584	0.39587682	0.3630563	0.34134036	0.57707108	0.29479014	0.46735086	0.32776942	0.37590212	0.37907954	0.48454978	0.32154794	0.42034792	0.4049437	0.37257936	0.30236504	0.23045386	0.4235177	0.25884292	0.39300206	0.3373381	0.28153716	0.28086532	0.2579192	0.38738476	0.0	0.2258768	0.38153526	0.2756651	0.29539398	0.28207158	0.43494408	0.4423059	0.29236238	0.27531484	0.40157588	0.48872014
h273M.1.418507	0.33239376	0.21629816	0.28988718	0.38041384	0.45819488	0.33604802	0.4074941	0.49928384	0.25543292	0.27458132	0.2805772	0.3060344	0.21551282	0.27546878	0.28627678	0.22900884	0.39026642	0.39946808	0.3700297	0.43394062	0.36514232	0.3798108	0.36323874	0.38814088	0.43375542	0.3522315	0.38814396	0.58193484	0.2900887	0.4755955	0.30802706	0.30200852	0.37040602	0.45526878	0.32584606	0.42684248	0.41321826	0.36740728	0.25502572	0.20984246	0.37299594	0.22173344	0.35205678	0.25800438	0.2355738	0.22859188	0.22996544	0.28999592	0.2258768	0.0	0.33162602	0.30566218	0.25035718	0.25215266	0.3712718	0.3657023	0.2664307	0.24434508	0.35515736	0.43923974
h279M.1.418530	0.49346206	0.36295018	0.4476428	0.35987242	0.34499778	0.4828434	0.44680932	0.48320494	0.29993686	0.30282786	0.48866454	0.3272091	0.33955588	0.2780996	0.38751064	0.37698546	0.555835	0.43634686	0.50578508	0.57211244	0.5076437	0.58050774	0.45641492	0.4580073	0.57744056	0.4724694	0.5252705	0.53465662	0.44680048	0.61962444	0.46820844	0.41090906	0.5377276	0.47088028	0.47519448	0.4502309	0.44161088	0.4624505	0.22018754	0.30940204	0.22471992	0.23984294	0.27239528	0.29664956	0.2453461	0.24589438	0.29636206	0.33593958	0.38153526	0.33162602	0.0	0.46675356	0.30592404	0.3420394	0.2764977	0.268134	0.28910252	0.2385145	0.26100438	0.34846
h305M.1.418771	0.3253489	0.28836694	0.29641492	0.41168874	0.58979126	0.30258108	0.38973324	0.46025534	0.37586762	0.44924994	0.29373318	0.4264485	0.32544992	0.4144208	0.3437624	0.30803942	0.33523068	0.47516794	0.33443236	0.33548528	0.36200598	0.38550534	0.43361504	0.46098862	0.3959412	0.41296284	0.34182418	0.65337598	0.32264176	0.4669808	0.35843016	0.40927698	0.3855128	0.5599782	0.36017252	0.48661266	0.44819504	0.44638434	0.38289822	0.29301572	0.51844464	0.35761886	0.46184516	0.38663172	0.36826382	0.38771202	0.33031754	0.44691314	0.2756651	0.30566218	0.46675356	0.0	0.37852748	0.32356464	0.51729666	0.53160968	0.37226976	0.35617678	0.48917502	0.55886012
h37M.1.418863	0.37902898	0.24563902	0.33101288	0.4027895	0.4192347	0.36267196	0.4186828	0.51630974	0.24965674	0.26667406	0.35195814	0.2565829	0.25796148	0.28185596	0.22659964	0.28066382	0.42617532	0.37476274	0.38156668	0.4468544	0.38646994	0.44745622	0.35530396	0.38611002	0.46298172	0.360944	0.41651514	0.52887686	0.33275868	0.52346676	0.35826268	0.30397726	0.41388092	0.42334604	0.35131248	0.37538862	0.3622878	0.39045658	0.23786046	0.25636124	0.3241506	0.21010746	0.27589004	0.26866444	0.20716214	0.20413238	0.2726857	0.31280442	0.29539398	0.25035718	0.30592404	0.37852748	0.0	0.31378004	0.33555774	0.346085	0.22259012	0.25731062	0.32970462	0.39971764
h60M.1.418694	0.30349362	0.24340262	0.25711292	0.32817918	0.48606638	0.32750652	0.31526008	0.41928918	0.30558574	0.34479078	0.27167874	0.3786507	0.25257192	0.2760636	0.35502728	0.29103158	0.3786742	0.43428534	0.33961584	0.36939372	0.35892886	0.35420702	0.37492104	0.42695922	0.36185988	0.3693144	0.3776047	0.61832434	0.327566	0.44887956	0.3414024	0.3725545	0.3975244	0.51544512	0.35815984	0.46996166	0.43161152	0.4028993	0.2770115	0.20311252	0.36156112	0.24761994	0.41196692	0.34762	0.2982567	0.2846975	0.25442962	0.37782706	0.28207158	0.25215266	0.3420394	0.32356464	0.31378004	0.0	0.3944867	0.42055772	0.33917516	0.26015602	0.42719638	0.49030388
h68M.1.418773	0.52726384	0.39703	0.4779103	0.45711936	0.25704848	0.50895602	0.5094269	0.5340692	0.3383354	0.244909	0.49789408	0.25213924	0.36308358	0.3211217	0.38565766	0.4226742	0.57677302	0.40948516	0.54383346	0.58434266	0.53965556	0.59663412	0.4989155	0.49641916	0.61594766	0.51017462	0.5855032	0.45506656	0.49005986	0.67163678	0.5096185	0.43324164	0.57468034	0.40971146	0.51656414	0.45684852	0.44030542	0.51934312	0.30591368	0.38934386	0.30959166	0.28981368	0.31398714	0.3195935	0.27601768	0.27156864	0.39325876	0.29469444	0.43494408	0.3712718	0.2764977	0.51729666	0.33555774	0.3944867	0.0	0.1913241	0.2749633	0.35808404	0.28364504	0.27678366
h78M.1.418725	0.52244786	0.38949842	0.46832492	0.4578781	0.2473939	0.52673252	0.53818628	0.58439094	0.32226798	0.25405494	0.51490514	0.2584587	0.3795194	0.33789536	0.41361404	0.41316526	0.6017588	0.39591314	0.5407842	0.60886836	0.52697414	0.60234622	0.483748	0.48223506	0.60348216	0.50566496	0.57354626	0.43223978	0.47926668	0.64445764	0.49685584	0.4218223	0.56216016	0.38688716	0.51810672	0.45520706	0.4554806	0.48773762	0.32311926	0.37987256	0.3452936	0.2980103	0.30175068	0.30666988	0.2927857	0.2819093	0.38070718	0.24800582	0.4423059	0.3657023	0.268134	0.53160968	0.346085	0.42055772	0.1913241	0.0	0.29298508	0.3456565	0.24184154	0.25551128
h85M.1.418596	0.37469954	0.2388595	0.34185756	0.40043538	0.38148362	0.3507308	0.40545048	0.51252066	0.18370518	0.2201315	0.34633446	0.18960858	0.24273344	0.29915528	0.26097972	0.2845715	0.43801864	0.31893414	0.3837698	0.44205832	0.37627834	0.44789818	0.34068992	0.33548754	0.4536038	0.34445616	0.42427126	0.4789129	0.32892396	0.50925168	0.34162988	0.29961722	0.42004928	0.39107344	0.37200108	0.35121082	0.3322182	0.3736959	0.2661355	0.28130056	0.35027088	0.2270313	0.25563324	0.20740536	0.18072122	0.1817757	0.34047726	0.24314758	0.29236238	0.2664307	0.28910252	0.37226976	0.22259012	0.33917516	0.2749633	0.29298508	0.0	0.3019499	0.27759242	0.34266548
h95M.1.418831	0.40028156	0.2691206	0.33907602	0.29456384	0.42818456	0.37475918	0.34228794	0.40215292	0.32556188	0.344392	0.37628064	0.34046148	0.24637666	0.22716506	0.29455698	0.29289436	0.43898222	0.43883972	0.4004555	0.46020798	0.40190376	0.47118268	0.42209954	0.44961144	0.47256822	0.4169117	0.41837316	0.583221	0.3575297	0.52793414	0.3776991	0.36657728	0.43034646	0.4898795	0.39725606	0.42168796	0.42317702	0.41356032	0.18456476	0.2154743	0.25371114	0.22694928	0.3417333	0.34014922	0.25808892	0.25949	0.174527	0.3828956	0.27531484	0.24434508	0.2385145	0.35617678	0.25731062	0.26015602	0.35808404	0.3456565	0.3019499	0.0	0.36155176	0.43551542
h9M.1.418588	0.498219	0.3752274	0.44330694	0.46464092	0.31108972	0.48428202	0.52749034	0.51994892	0.29954152	0.25390572	0.48990724	0.27062524	0.36281334	0.3081573	0.3857517	0.37719252	0.57124066	0.39623392	0.50674658	0.57604022	0.50604272	0.58418764	0.4515941	0.45471712	0.57630294	0.47816578	0.53845588	0.49721312	0.44843022	0.60987026	0.4681185	0.41183752	0.53406182	0.44320354	0.49102006	0.42989388	0.41698402	0.44733632	0.31685576	0.36854926	0.3716811	0.29968716	0.27179702	0.2689805	0.26611932	0.25818272	0.38340536	0.26600672	0.40157588	0.35515736	0.26100438	0.48917502	0.32970462	0.42719638	0.28364504	0.24184154	0.27759242	0.36155176	0.0	0.29487562
k278A.2.418424	0.55427642	0.4271245	0.50533444	0.49312126	0.29067026	0.4979556	0.56658396	0.57171654	0.31943658	0.26069894	0.51733578	0.2650871	0.40379156	0.41368764	0.4392832	0.44257458	0.61940844	0.41571282	0.55873268	0.61397256	0.54107838	0.62631974	0.47229348	0.48461542	0.60658232	0.52761768	0.58350278	0.44765942	0.50277696	0.553236	0.45932364	0.39303134	0.56981536	0.43906216	0.55028756	0.45895938	0.47774468	0.4545013	0.40307974	0.42913756	0.39377916	0.38282782	0.24951692	0.33609368	0.3375985	0.34229662	0.46533358	0.31465362	0.48872014	0.43923974	0.34846	0.55886012	0.39971764	0.49030388	0.27678366	0.25551128	0.34266548	0.43551542	0.29487562	0.0
